"","ID","name","year","total_enrollment","female","asian","black","hispanic","multi_racial","native_american","white","disability","ESL","poverty","elementary","middle","high","mean_class_size","resp_rate_parent","outsiders_parent","resp_rate_student","outsiders_student","resp_rate_teacher","outsiders_teacher"
"56","04M171","P.S. 171 Patrick Henry","2020-21",770,0.529,0.108,0.244,0.582,0.009,0.013,0.04,0.194,0.029,0.78,0.553246753246753,0.349350649350649,0,25.0512820512821,0.22,0.03,0.99,0.07,0.4,0
"57","04M206","P.S. 206 Jose Celso Barbosa","2020-21",447,0.432,0.02,0.224,0.705,0.009,0.004,0.038,0.441,0.172,0.85,0.487695749440716,0.512304250559284,0,13.5958333333333,0.31,0.02,0.89,0.18,0.9,0.06
"58","04M224","M.S. 224 Manhattan East School for Arts & Academic","2020-21",203,0.502,0.069,0.296,0.453,0.025,0.005,0.153,0.222,0.005,0.6,0,1,0,19.2857142857143,0.32,0.09,0.59,0.13,1,0
"59","04M372","Esperanza Preparatory Academy","2020-21",475,0.465,0.013,0.12,0.846,0.004,0.004,0.013,0.257,0.333,0.95,0,0.372631578947368,0.627368421052632,17.5714285714286,0.46,0.04,0.8,0.2,0.78,0.06
"60","04M377","Renaissance School of the Arts","2020-21",201,0.682,0,0.498,0.473,0.015,0.015,0,0.284,0.06,0.92,0,1,0,19.7142857142857,0.08,0.13,0.37,0.26,0.76,0
"61","04M610","Young Women's Leadership School","2020-21",479,1,0.067,0.251,0.574,0.006,0.006,0.035,0.203,0.021,0.83,0,0.313152400835073,0.686847599164927,23.6666666666667,0.12,0,0.3,0.13,0.76,0.08
"62","04M825","Isaac Newton Middle School for Math & Science","2020-21",323,0.437,0.062,0.195,0.728,0,0.003,0.012,0.254,0.096,0.91,0,1,0,26.4722222222222,0.27,0.04,0.77,0.11,0.92,0
"63","04M964","Central Park East II","2020-21",435,0.526,0.06,0.301,0.48,0.041,0,0.117,0.28,0.048,0.6,0.542528735632184,0.360919540229885,0,19.9444444444444,0.21,0.04,0.66,0.11,0.45,0
"64","05M046","P.S. 046 Arthur Tappan","2020-21",490,0.486,0.01,0.484,0.492,0.004,0.002,0.008,0.337,0.067,0.95,0.555102040816327,0.379591836734694,0,19.593984962406,0.02,0,0.59,0.19,0.76,0.14
"65","05M123","P.S. 123 Mahalia Jackson","2020-21",418,0.471,0.022,0.486,0.426,0.012,0.019,0.036,0.263,0.16,0.95,0.533492822966507,0.389952153110048,0,20.25,0.35,0.03,0.58,0.26,0.79,0.21
